#;QTY;REFDES;MANUFACTURER;PARTNO;VALUE;PACKAGE;SUPPLIER;ORDER #;
52;1;J1;TYCO ELECTRONICS;5767054-1;.25IN F SMT;767054-1;AMP: 5767054-1;;
53;3;J2,J3,J9;3M;N2520-6V0C-RB-WE;;3MN2520-6V0C-RB-WE;;;
54;1;J7;MOLEX;15-91-2140;;MOLEX15-91-2140;;;
55;2;J8,J15;MOLEX;879160001;;MOLEX879160001;;;
56;4;J10,J11,J12,J13;AMPHENOL;132136;SMA;AMPHENOL132136;;;
57;1;J14;SAMTEC;HLE-105-02-G-DV;;J_10IO_TBD;;;
58;1;J17;PROCONN;SDSR13-A0-0005;;PROCONN_SDSR13;;;
59;1;J18;MOLEX;44206-0007;;MOLEX_44206-0007;;;
60;3;J19,J20,J21;MOLEX;47053-1000;;MOLEX_47053-1000;;;
61;1;J24;MOLEX;87832-1420;;CON7X2_87832_P2_H11_SMD;;;
62;1;J25;HALO;HFJ11-1G02E-L12;;RJ45_8POS;;;
63;1;J26;3M;2510-6002UB;;MOLEX15-91-2100;;;
64;1;J27;3M;2510-6002UB;;MOLEX15-91-2100;;;
65;1;J28;LANTRONIX;XP1001001-03R;;XP100100X_03R;;;
66;1;J31;MOLEX;15-91-2200;;MOLEX15-91-2200;;;
67;1;J32;3M;8510-4500PL;;3M2510_6002UB;;;
68;1;J41;MOLEX;15-91-2080;;MOLEX15-91-2080;;;
69;8;JP4,JP5,JP6,JP7,JP8,JP9,JP24,JP25;N/A;JP2;NO POP;JUMPER;;;
70;9;JP10,JP11,JP16,JP17,JP18,JP19,JP26,JP27,JP28;N/A;JP3;2-3;RESC3P1505X40N;;;
71;8;JP12,JP13,JP14,JP15,JP20,JP21,JP22,JP23;N/A;JP3;1-2;RESC3P1505X40N;;;
72;4;L1,L2,L3,L4;MURATA;BLM21B601SPT;600OHM 200MA;INDC2012X130N;AVNET;;
73;6;L5,L6,L7,L14,L15,L16;MURATA;BLM31PG121SN1B;BLM31PG121SN1B;INDC3216X130N;;;
74;7;L8,L9,L10,L11,L12,L13,L17;MURATA;BLM18PG181SN1X;180OHM 1.5A;INDC1608X95N;AVNET;;
75;1;LOGO1;;N/A;;LOGO;;;
76;1;LOGO2;;N/A;;MEERKATLOGO;;;
