Drill Listing
=============
Drill: .008  Tool: 1  Feed: 0  Speed: 0
X 755329  Y 529133
X 755304  Y 513385
X 755277  Y 521259
X 751770  Y 521259
X 751770  Y 529133
X 751745  Y 513385
X 729921  Y 529133
X 729921  Y 533070
X 725984  Y 529133
X 725984  Y 533070
X 725984  Y 525196
X 722047  Y 533070
X 722047  Y 529133
X 718110  Y 533070
X 718110  Y 529133
X 710236  Y 533070
X 706299  Y 533070
X 702362  Y 533070
X 702362  Y 529133
X 702362  Y 525196
X 698425  Y 533070
X 698425  Y 529133
X 694488  Y 529133
X 694488  Y 533070
X 690551  Y 529133
X 690551  Y 533070
X 686614  Y 529133
X 686614  Y 525196
X 686614  Y 521259
X 686614  Y 533070
X 686614  Y 517716
X 682677  Y 533070
X 682677  Y 514960
X 682677  Y 517322
X 678740  Y 533070
X 678740  Y 519291
X 678740  Y 529133
X 678740  Y 513385
X 674803  Y 520866
X 674803  Y 529133
X 674803  Y 511811
X 674803  Y 525196
X 670866  Y 525196
X 670866  Y 529133
X 670866  Y 533070
X 666929  Y 529133
X 666929  Y 533070
X 662992  Y 525196
X 662992  Y 533070
X 662992  Y 529133
X 659055  Y 533070
X 655118  Y 533070
X 655118  Y 529133
X 651181  Y 533070
X 651181  Y 529133
X 647244  Y 529133
X 647244  Y 533070
X 643307  Y 525196
X 643307  Y 529133
X 643307  Y 533070
X 639370  Y 533070
X 635433  Y 529133
X 635433  Y 533070
X 631496  Y 533070
X 631496  Y 529133
X 627559  Y 533070
X 627559  Y 525196
X 627559  Y 529133
X 623622  Y 533070
X 619685  Y 529133
X 619685  Y 533070
X 615748  Y 533070
X 611811  Y 533070
X 607874  Y 533070
X 607874  Y 525196
X 600000  Y 533070
X 596062  Y 533070
X 596062  Y 529133
X 572440  Y 517322
X 568503  Y 509448
X 568503  Y 525196
X 558661  Y 517322
X 558661  Y 533070
X 558661  Y 509448
X 558661  Y 525196
X 554724  Y 533070
X 554724  Y 517322
X 554724  Y 525196
X 554724  Y 509448
X 528767  Y 531992
X 502267  Y 517492
X 450393  Y 513385
X 434645  Y 513385
X 388976  Y 513779
X 388976  Y 525590
X 379767  Y 531492
X 308267  Y 513188
X 308267  Y 532086
X 308267  Y 519094
X 275196  Y 513385
X 275196  Y 519291
X 260629  Y 510629
X 308267  Y 537992
X 327953  Y 540944
X 336220  Y 556692
X 336614  Y 545669
X 336614  Y 540944
X 388976  Y 548425
X 389370  Y 537007
X 389370  Y 558661
X 434645  Y 540944
X 450393  Y 540944
X 554724  Y 540944
X 554724  Y 556692
X 554724  Y 548818
X 558661  Y 556692
X 558661  Y 540944
X 558661  Y 548818
X 568503  Y 548818
X 572440  Y 540944
X 572440  Y 556692
X 596062  Y 537007
X 596062  Y 556692
X 596062  Y 548818
X 596062  Y 540944
X 596062  Y 552755
X 596062  Y 544881
X 600000  Y 537007
X 600000  Y 556692
X 600000  Y 544881
X 600000  Y 540944
X 600000  Y 548818
X 600000  Y 552755
X 603937  Y 537007
X 603937  Y 544881
X 603937  Y 556692
X 603937  Y 548818
X 603937  Y 552755
X 603937  Y 540944
X 607874  Y 537007
X 607874  Y 548818
X 607874  Y 552755
X 607874  Y 556692
X 607874  Y 544881
X 607874  Y 540944
X 611811  Y 537007
X 611811  Y 556692
X 611811  Y 548818
X 611811  Y 552755
X 611811  Y 544881
X 611811  Y 540944
X 615748  Y 537007
X 615748  Y 540944
X 615748  Y 556692
X 615748  Y 552755
X 615748  Y 544881
X 615748  Y 548818
X 619685  Y 537007
X 619685  Y 540944
X 619685  Y 548818
X 619685  Y 552755
X 619685  Y 544881
X 619685  Y 556692
X 623622  Y 537007
X 623622  Y 548818
X 623622  Y 556692
X 623622  Y 552755
X 623622  Y 540944
X 623622  Y 544881
X 627559  Y 537007
X 627559  Y 556692
X 627559  Y 544881
X 627559  Y 540944
X 627559  Y 548818
X 627559  Y 552755
X 631496  Y 537007
X 631496  Y 544881
X 631496  Y 548818
X 631496  Y 552755
X 631496  Y 556692
X 631496  Y 540944
X 635433  Y 537007
X 635433  Y 544881
X 635433  Y 552755
X 635433  Y 540944
X 635433  Y 556692
X 635433  Y 548818
X 639370  Y 537007
X 639370  Y 548818
X 639370  Y 540944
X 639370  Y 552755
X 639370  Y 544881
X 639370  Y 556692
X 643307  Y 540944
X 643307  Y 552755
X 643307  Y 537007
X 643307  Y 544881
X 643307  Y 548818
X 643307  Y 556692
X 647244  Y 537007
X 647244  Y 544881
X 647244  Y 540944
X 647244  Y 556692
X 647244  Y 552755
X 647244  Y 548818
X 651181  Y 537007
X 651181  Y 552755
X 651181  Y 540944
X 651181  Y 556692
X 651181  Y 548818
X 651181  Y 544881
X 655118  Y 537007
X 655118  Y 552755
X 655118  Y 544881
X 655118  Y 548818
X 655118  Y 540944
X 655118  Y 556692
X 659055  Y 537007
X 659055  Y 548818
X 659055  Y 552755
X 659055  Y 544881
X 659055  Y 556692
X 659055  Y 540944
X 662992  Y 556692
X 666929  Y 537007
X 666929  Y 556692
X 666929  Y 544881
X 666929  Y 548818
X 666929  Y 552755
X 666929  Y 540944
X 670866  Y 537007
X 670866  Y 544881
X 670866  Y 548818
X 670866  Y 552755
X 670866  Y 540944
X 670866  Y 556692
X 674803  Y 537007
X 674803  Y 548818
X 674803  Y 544881
X 674803  Y 540944
X 674803  Y 552755
X 674803  Y 556692
X 678740  Y 552755
X 678740  Y 544881
X 678740  Y 548818
X 678740  Y 556692
X 682677  Y 537007
X 682677  Y 548818
X 682677  Y 540944
X 682677  Y 552755
X 682677  Y 544881
X 682677  Y 556692
X 686614  Y 548818
X 686614  Y 540944
X 686614  Y 556692
X 686614  Y 544881
X 686614  Y 537007
X 690551  Y 537007
X 690551  Y 556692
X 690551  Y 540944
X 690551  Y 548818
X 690551  Y 544881
X 690551  Y 552755
X 694488  Y 537007
X 694488  Y 548818
X 694488  Y 552755
X 694488  Y 556692
X 694488  Y 544881
X 694488  Y 540944
X 698425  Y 537007
X 698425  Y 540944
X 698425  Y 544881
X 698425  Y 552755
X 698425  Y 556692
X 698425  Y 548818
X 702362  Y 537007
X 702362  Y 544881
X 702362  Y 540944
X 702362  Y 552755
X 702362  Y 548818
X 702362  Y 556692
X 706299  Y 537007
X 706299  Y 556692
X 706299  Y 552755
X 706299  Y 540944
X 706299  Y 548818
X 706299  Y 544881
X 710236  Y 537007
X 710236  Y 552755
X 710236  Y 556692
X 710236  Y 540944
X 710236  Y 548818
X 710236  Y 544881
X 714173  Y 537007
X 714173  Y 552755
X 714173  Y 556692
X 714173  Y 548818
X 714173  Y 544881
X 714173  Y 540944
X 718110  Y 548818
X 718110  Y 537007
X 718110  Y 556692
X 718110  Y 552755
X 718110  Y 540944
X 718110  Y 544881
X 722047  Y 544881
X 722047  Y 556692
X 722047  Y 537007
X 722047  Y 552755
X 722047  Y 548818
X 722047  Y 540944
X 725984  Y 537007
X 725984  Y 548818
X 725984  Y 552755
X 725984  Y 544881
X 725984  Y 540944
X 725984  Y 556692
X 729921  Y 537007
X 729921  Y 556692
X 729921  Y 540944
X 729921  Y 544881
X 730708  Y 548031
X 731889  Y 554724
X 733858  Y 550787
X 739360  Y 540944
X 745519  Y 537007
X 777305  Y 556692
X 780906  Y 556692
X 804565  Y 539315
X 804974  Y 550450
X 810629  Y 540944
X 814566  Y 537007
X 818503  Y 537007
X 822440  Y 537007
X 822440  Y 541338
X 824767  Y 543492
X 826377  Y 537007
