C168     GRM21BR61C475KA88                208.771    231.450    Bottom                         90           1.3MM                            4.7UF    
C169     ECJ-0EB0J224K                    148.000    142.500    Bottom                         90           0.55MM                           220NF    
C170     ECJ-0EB0J224K                    144.000    142.500    Bottom                         90           0.55MM                           220NF    
C171     ECJ-0EB0J224K                    147.000    142.500    Bottom                         90           0.55MM                           220NF    
C172     GRM21BR60J106KE19L               171.500    98.000     Top                            0            1.35MM                           10UF     
C173     ECJ-0EB0J224K                    143.000    142.500    Bottom                         90           0.55MM                           220NF    
C174     GRM21BR60J106KE19L               111.500    86.000     Top                            270          1.35MM                           10UF     
C175     ECJ-0EB0J224K                    150.000    142.500    Bottom                         90           0.55MM                           220NF    
C176     GRM21BR60J106KE19L               123.500    86.000     Top                            270          1.35MM                           10UF     
C177     ECJ-0EB0J224K                    153.000    142.500    Bottom                         90           0.55MM                           220NF    
C178     ECJ-0EB0J224K                    151.000    142.500    Bottom                         90           0.55MM                           220NF    
C179     ECJ-0EB0J224K                    152.000    142.500    Bottom                         90           0.55MM                           220NF    
C180     GRM21BR60J106KE19L               171.500    102.000    Top                            0            1.35MM                           10UF     
C181     ECJ-0EB0J224K                    165.492    105.000    Bottom                         180          0.55MM                           220NF    
C182     ECJ-0EB0J224K                    115.500    116.000    Bottom                         0            0.55MM                           220NF    
C183     GRM155R71E103KAO1B               147.000    146.500    Top                            270          0.55MM                           10NF     
C184     GRM155R71E103KAO1B               146.000    146.500    Top                            270          0.55MM                           10NF     
C185     GRM155R71E103KAO1B               145.000    146.500    Top                            270          0.55MM                           10NF     
C186     GRM155R71E103KAO1B               144.000    146.500    Top                            270          0.55MM                           10NF     
C187     GRM155R71E103KAO1B               162.100    146.500    Top                            270          0.55MM                           10NF     
C188     GRM155R71E103KAO1B               161.100    146.500    Top                            270          0.55MM                           10NF     
C189     GRM155R71E103KAO1B               156.000    146.500    Top                            270          0.55MM                           10NF     
C190     GRM155R71E103KAO1B               157.000    146.500    Top                            270          0.55MM                           10NF     
C191     ECJ-0EB0J224K                    160.900    135.500    Bottom                         180          0.55MM                           220NF    
C192     C0402X7R160-104KN                284.500    225.700    Top                            270          0.55MM                           0.1UF    
C193     C0402X7R160-104KN                283.000    225.700    Top                            90           0.55MM                           0.1UF    
C194     C0402X7R160-104KN                281.600    225.700    Top                            90           0.55MM                           0.1UF    
C195     C0402X7R160-104KN                280.300    225.700    Top                            90           0.55MM                           0.1UF    
C196     C0402X7R160-104KN                293.800    225.700    Top                            270          0.55MM                           0.1UF    
C197     C0402X7R160-104KN                292.500    225.700    Top                            90           0.55MM                           0.1UF    
C198     C0402X7R160-104KN                291.100    225.700    Top                            90           0.55MM                           0.1UF    
C199     C0402X7R160-104KN                289.700    225.700    Top                            90           0.55MM                           0.1UF    
C200     ECJ-0EB0J224K                    143.000    121.000    Bottom                         0            0.55MM                           220NF    
C201     ECJ-0EB0J224K                    141.000    119.000    Bottom                         0            0.55MM                           220NF    
C202     ECJ-0EB0J224K                    143.000    119.000    Bottom                         0            0.55MM                           220NF    
C203     ECJ-0EB0J224K                    145.000    119.000    Bottom                         0            0.55MM                           220NF    
C204     ECJ-0EB0J224K                    151.500    97.500     Bottom                         270          0.55MM                           220NF    
C205     ECJ-0EB0J224K                    172.000    116.500    Top                            0            0.55MM                           220NF    
C206     ECJ-0EB0J224K                    141.000    123.000    Bottom                         0            0.55MM                           220NF    
C207     ECJ-0EB0J224K                    143.000    123.000    Bottom                         0            0.55MM                           220NF    
C208     ECJ-0EB0J224K                    145.000    123.000    Bottom                         0            0.55MM                           220NF    
C209     ECJ-0EB0J224K                    123.500    97.500     Top                            270          0.55MM                           220NF    
C210     ECJ-0EB0J224K                    127.500    97.500     Top                            270          0.55MM                           220NF    
C211     ECJ-0EB0J224K                    131.500    97.500     Top                            270          0.55MM                           220NF    
C212     ECJ-0EB0J224K                    159.000    142.500    Bottom                         90           0.55MM                           220NF    
C213     ECJ-0EB0J224K                    156.000    142.500    Bottom                         90           0.55MM                           220NF    
C214     ECJ-0EB0J224K                    135.700    97.500     Top                            270          0.55MM                           220NF    
C215     ECJ-0EB0J224K                    157.000    142.500    Bottom                         90           0.55MM                           220NF    
C216     ECJ-0EB0J224K                    147.500    97.500     Top                            270          0.55MM                           220NF    
C217     ECJ-0EB0J224K                    151.700    97.500     Top                            270          0.55MM                           220NF    
C218     ECJ-0EB0J224K                    155.700    97.500     Top                            270          0.55MM                           220NF    
C219     ECJ-0EB0J224K                    159.700    97.500     Top                            270          0.55MM                           220NF    
C220     ECJ-0EB0J224K                    155.000    142.500    Bottom                         90           0.55MM                           220NF    
C221     ECJ-0EB0J224K                    115.500    106.000    Top                            180          0.55MM                           220NF    
C222     ECJ-0EB0J224K                    115.500    108.000    Top                            180          0.55MM                           220NF    
C223     ECJ-0EB0J224K                    161.000    136.500    Bottom                         180          0.55MM                           220NF    
C224     ECJ-0EB0J224K                    115.500    110.000    Top                            180          0.55MM                           220NF    
C225     ECJ-0EB0J224K                    160.900    134.500    Bottom                         180          0.55MM                           220NF    
C226     ECJ-0EB0J224K                    160.900    133.500    Bottom                         180          0.55MM                           220NF    
C227     GRM155R60J104KA01J               191.322    234.219    Bottom                         0            0.55MM                           100NF    
C228     ECJ-0EB0J224K                    115.500    112.000    Top                            180          0.55MM                           220NF    
C229     ECJ-0EB0J224K                    115.500    114.000    Top                            180          0.55MM                           220NF    
C230     ECJ-0EB0J224K                    115.500    122.000    Top                            180          0.55MM                           220NF    
C231     ECJ-0EB0J224K                    115.500    124.000    Top                            180          0.55MM                           220NF    
C232     ECJ-0EB0J224K                    115.500    126.000    Top                            180          0.55MM                           220NF    
C233     ECJ-0EB0J224K                    115.500    128.000    Top                            180          0.55MM                           220NF    
C234     ECJ-0EB0J224K                    115.500    116.000    Top                            180          0.55MM                           220NF    
C235     ECJ-0EB0J224K                    115.500    104.000    Top                            180          0.55MM                           220NF    
C236     ECJ-0EB0J224K                    121.500    97.500     Top                            90           0.55MM                           220NF    
C237     ECJ-0EB0J224K                    125.500    97.500     Top                            90           0.55MM                           220NF    
C238     ECJ-0EB0J224K                    129.500    97.500     Top                            90           0.55MM                           220NF    
C239     GRM155R60J103KA01J               197.443    234.244    Bottom                         0            0.55MM                           10NF     
C240     GRM155R60J103KA01J               188.274    234.219    Bottom                         0            0.55MM                           10NF     
C241     GRM155R60J103KA01J               195.868    235.031    Bottom                         90           0.55MM                           10NF     
C242     GRM155R60J103KA01J               194.116    234.219    Bottom                         0            0.55MM                           10NF     
C243     GRM155R60J103KA01J               207.552    234.244    Bottom                         0            0.55MM                           10NF     
C244     GRM155R60J103KA01J               209.254    234.930    Bottom                         90           0.55MM                           10NF     
C245     GRM155R60J103KA01J               201.583    234.244    Bottom                         0            0.55MM                           10NF     
C246     GRM155R60J103KA01J               210.880    234.244    Bottom                         0            0.55MM                           10NF     
C247     GRM155R60J104KA01J               204.555    234.244    Bottom                         0            0.55MM                           100NF    
C248     ECJ-0EB0J224K                    101.300    161.600    Top                            0            0.55MM                           220NF    
