"Overview [Pass/Fail]","Net(s)","Coupled Net(s)","Driver(s) [RefDes.Pin]","Receiver [RefDes.Pin]","Simulation Corner","Rise Min Delay [ns]","Rise Max Delay [ns]","Rise Ref Time-to-Vmeas [ns]","Fall Min Delay [ns]","Fall Max Delay [ns]","Fall Ref Time-to-Vmeas [ns]","Flight Time Comp. [Yes/No]","Driver Meas [Pin/Die]","Receiver Meas [Pin/Die]","Diff Meas [Yes/No]","Rise Overshoot Rail [mV]","Fall Overshoot Rail [mV]","Rise Overshoot SI [mV]","Fall Overshoot SI [mV]","Rise/Fall Monotonic [Pass/Fail]","Rise/Fall Multi Cross [Pass/Fail]","Rise/Fall Threshold [Pass/Fail]","Rise/Fall Crosstalk [mV]","Rise/Fall Delay Error [Pass/Fail]","Rise/Fall Rail Overshoot [Pass/Fail]","Rise/Fall SI Overshoot [Pass/Fail]","Rise/Fall Crosstalk [Pass/Fail]","Driver Model File","Driver Model Name","Receiver Model File","Receiver Model Name","Total Net Length","Comments"
"Fail","PADD20","","U15.AG18","U1.C21","Slow-Weak"," 0.706"," 4.437"," 2.597"," 1.136"," 4.675"," 3.214","Yes","Pin","Pin","No","     0","     4","     0","     4","Fail","Pass","Pass","NA","Pass","Pass","Pass","Pass","virtex5.ibs","LVTTL_S_2","ppc440EP_rev16.ibs","bt3335t_pm_b"," 13.115 cm","Not monotonic between thresholds. "
"Fail","PADD23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     ** Warning(Severe) ** Missing IC model(s); unable to simulate"
"Fail","PADD24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     ** Warning(Severe) ** Missing IC model(s); unable to simulate"
"Fail","PADD25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     ** Warning(Severe) ** Missing IC model(s); unable to simulate"
"Fail","PADD8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     ** Warning(Severe) ** Missing IC model(s); unable to simulate"
"Fail","PADD9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     ** Warning(Severe) ** Missing IC model(s); unable to simulate"
"Fail","PDATA10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     ** Warning(Severe) ** Missing IC model(s); unable to simulate"
"Fail","PDATA11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     ** Warning(Severe) ** Missing IC model(s); unable to simulate"
"Fail","PDATA12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     ** Warning(Severe) ** Missing IC model(s); unable to simulate"
"Fail","PDATA13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     ** Warning(Severe) ** Missing IC model(s); unable to simulate"
"Fail","PDATA14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     ** Warning(Severe) ** Missing IC model(s); unable to simulate"
"Fail","PDATA15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     ** Warning(Severe) ** Missing IC model(s); unable to simulate"
"Fail","PDATA8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     ** Warning(Severe) ** Missing IC model(s); unable to simulate"
"Fail","PDATA9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     ** Warning(Severe) ** Missing IC model(s); unable to simulate"
"Fail","PADD31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"     ** Warning(Severe) ** Missing IC model(s); unable to simulate"
