Part Report for roach103.pcb on 31/08/2009 14:16:51

Name     Layer Name                     Position X Position Y Orientatio Geometry.Height                  MANUFACTURER                     P/D_NUM                          Value    
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
C1       Top                               275.456   -161.639 270        3.1MM                            AVX                              TPSD227K010R0050                 220UF    
C101     Bottom                            109.456    -91.239 90         0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C102     Bottom                            113.456    -91.239 90         0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C103     Top                                94.956    -79.739 0          0.55MM                           MURATA                           GRM155R60J104KA01J               100NF    
C104     Top                                34.456   -211.239 0          4.3MM                            KEMET                            T530X108M2R5ASE005               1000UF   
C105     Top                                30.760   -223.548 270        4.3MM                            KEMET                            T530X108M2R5ASE005               1000UF   
C106     Top                               102.056    -87.239 270        0.55MM                           MURATA                           GRM155R71E103KAO1B               10NF     
C107     Top                               101.056    -87.239 270        0.55MM                           MURATA                           GRM155R71E103KAO1B               10NF     
C108     Top                               100.056    -87.239 270        0.55MM                           MURATA                           GRM155R71E103KAO1B               10NF     
C109     Top                                99.056    -87.239 270        0.55MM                           MURATA                           GRM155R71E103KAO1B               10NF     
C110     Top                               118.456    -87.239 270        0.55MM                           MURATA                           GRM155R71E103KAO1B               10NF     
C111     Top                               117.456    -87.239 270        0.55MM                           MURATA                           GRM155R71E103KAO1B               10NF     
C112     Top                               115.456    -87.239 270        0.55MM                           MURATA                           GRM155R71E103KAO1B               10NF     
C113     Top                               116.456    -87.239 270        0.55MM                           MURATA                           GRM155R71E103KAO1B               10NF     
C114     Bottom                            121.456    -91.239 90         0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C115     Bottom                            117.456    -91.239 90         0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C116     Bottom                            118.456    -91.239 90         0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C117     Top                                22.454   -214.429 270        2.2MM                            MURATA                           GRM32DR61C106KA01K               10UF     
C118     Bottom                            115.456    -91.239 90         0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C119     Bottom                            116.456    -91.239 90         0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C120     Top                                69.956   -104.239 0          1.35MM                           MURATA                           GRM21BR60J106KE19L               10UF     
C121     Bottom                            120.456    -91.239 90         0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C122     Top                                69.956    -98.239 0          1.35MM                           MURATA                           GRM21BR60J106KE19L               10UF     
C123     Bottom                            122.456    -91.239 90         0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C124     Top                                69.956   -110.239 0          1.35MM                           MURATA                           GRM21BR60J106KE19L               10UF     
C125     Bottom                            124.456    -91.239 90         0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C126     Bottom                            123.456    -91.239 90         0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C127     Bottom                            151.510      0.480 180        0.55MM                           MURATA                           GRM155R60J103KA01J               10NF     
C128     Bottom                            153.579      0.470 180        0.55MM                           MURATA                           GRM155R60J104KA01J               100NF    
C129     Bottom                            146.280      0.490 0          0.55MM                           MURATA                           GRM155R60J103KA01J               10NF     
C131     Bottom                            149.410      0.490 0          0.55MM                           MURATA                           GRM155R60J103KA01J               10NF     
C132     Bottom                            162.586      0.480 0          0.55MM                           MURATA                           GRM155R60J103KA01J               10NF     
C133     Bottom                            164.288      1.242 90         0.55MM                           MURATA                           GRM155R60J103KA01J               10NF     
C135     Bottom                            166.040      0.582 0          0.55MM                           MURATA                           GRM155R60J103KA01J               10NF     
C136     Bottom                            159.589      0.505 0          0.55MM                           MURATA                           GRM155R60J104KA01J               100NF    
C137     Top                                84.956    -86.239 0          0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C138     Bottom                            149.980     -2.340 90         1.3MM                            MURATA                           GRM21BR61C475KA88                4.7UF    
C139     Bottom                            163.704     -2.339 90         1.3MM                            MURATA                           GRM21BR61C475KA88                4.7UF    
C140     Top                               112.456    -87.239 270        0.55MM                           MURATA                           GRM155R71E103KAO1B               10NF     
C141     Top                               111.456    -87.239 270        0.55MM                           MURATA                           GRM155R71E103KAO1B               10NF     
C142     Top                               105.056    -87.239 270        0.55MM                           MURATA                           GRM155R71E103KAO1B               10NF     
C143     Top                               106.056    -87.239 270        0.55MM                           MURATA                           GRM155R71E103KAO1B               10NF     
C144     Top                               124.456    -87.239 270        0.55MM                           MURATA                           GRM155R71E103KAO1B               10NF     
C145     Top                               123.456    -87.239 270        0.55MM                           MURATA                           GRM155R71E103KAO1B               10NF     
C146     Top                               121.456    -87.239 270        0.55MM                           MURATA                           GRM155R71E103KAO1B               10NF     
C147     Top                               122.456    -87.239 270        0.55MM                           MURATA                           GRM155R71E103KAO1B               10NF     
C148     Bottom                            228.244   -118.739 0          0.55MM                           MURATA                           GRM155R60J103KA01J               10NF     
C149     Bottom                            227.956   -114.199 90         0.55MM                           VENKEL                           C0402X7R160-104KN                0.1UF    
C150     Bottom                            225.956   -127.739 90         0.55MM                           VENKEL                           C0402X7R160-104KN                0.1UF    
C151     Bottom                            227.956   -104.039 90         0.55MM                           VENKEL                           C0402X7R160-104KN                0.1UF    
C152     Bottom                            218.581   -118.739 0          0.55MM                           VENKEL                           C0402X7R160-104KN                0.1UF    
C153     Top                               103.956    -69.739 90         1.35MM                           MURATA                           GRM21BR60J106KE19L               10UF     
C154     Top                                69.956   -129.739 0          1.35MM                           MURATA                           GRM21BR60J106KE19L               10UF     
C155     Top                                69.956   -142.739 0          1.35MM                           MURATA                           GRM21BR60J106KE19L               10UF     
C156     Top                               150.956    -69.739 90         1.35MM                           MURATA                           GRM21BR60J106KE19L               10UF     
C157     Top                               148.956   -147.739 90         1.35MM                           MURATA                           GRM21BR60J106KE19L               10UF     
C158     Top                                75.256   -118.739 270        0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C159     Bottom                            125.456   -108.739 180        0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C160     Bottom                            102.456   -109.739 180        0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C161     Bottom                             78.456   -108.739 270        0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C162     Bottom                             78.456    -98.239 270        0.55MM                           PANASONIC                        ECJ-0EB0J224K                    220NF    
C163     Top                               156.956   -147.739 90         1.35MM                           MURATA                           GRM21BR60J106KE19L               10UF     
C164     Top                                83.056    -58.639 0          2.1MM                            KEMET                            T520B476M006ATE070               47UF     
C165     Top                               118.644     -3.838 270        2.7MM                            MURATA                           GRM32ER61C226KE20                22UF     
C166     Top                               118.644      2.461 270        2.7MM                            MURATA                           GRM32ER61C226KE20                22UF     
C167     Bottom                            178.334     -2.314 90         1.3MM                            MURATA                           GRM21BR61C475KA88                4.7UF    
