Part Report for roach103.pcb on 31/08/2009 14:16:51

Name     Layer Name                     Position X Position Y Orientatio Geometry.Height                  MANUFACTURER                     P/D_NUM                          Value    
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
C1       Top                               275.456   -161.639 270        3.1MM                            AVX                              TPSD227K010R0050                 220UF    
CP26     Top                               277.556   -124.539 0          1.0MM                            MURATA                           GNM214B11C104MA01B               100NF    
CP27     Top                                36.456   -144.922 180        1.0MM                            MURATA                           GNM214B11C104MA01B               100NF    
CP28     Top                               277.556   -128.939 0          1.0MM                            MURATA                           GNM214B11C104MA01B               100NF    
CP29     Top                               277.556   -131.639 0          1.0MM                            MURATA                           GNM214B11C104MA01B               100NF    
CP30     Top                               277.556   -134.639 0          1.0MM                            MURATA                           GNM214B11C104MA01B               100NF    
CP31     Top                               277.556   -143.639 0          1.0MM                            MURATA                           GNM214B11C104MA01B               100NF    
CP32     Top                               277.556   -146.339 0          1.0MM                            MURATA                           GNM214B11C104MA01B               100NF    
CP33     Top                               277.556   -148.839 0          1.0MM                            MURATA                           GNM214B11C104MA01B               100NF    
CP34     Bottom                            177.956    -93.239 90         1.0MM                            MURATA                           GNM214B11C104MA01B               100NF    
CP35     Bottom                            159.956    -76.339 0          1.0MM                            MURATA                           GNM214B11C104MA01B               100NF    
CP36     Bottom                            175.456    -76.239 90         1.0MM                            MURATA                           GNM214B11C104MA01B               100NF    
CP37     Bottom                            162.956    -73.739 90         1.0MM                            MURATA                           GNM214B11C104MA01B               100NF    
CP38     Bottom                            159.956    -79.239 180        1.0MM                            MURATA                           GNM214B11C104MA01B               100NF    
CP39     Bottom                            183.259    -74.764 180        1.0MM                            MURATA                           GNM214B11C104MA01B               100NF    
CP40     Bottom                            175.456    -93.239 90         1.0MM                            MURATA                           GNM214B11C104MA01B               100NF    
CP41     Bottom                            169.456    -71.739 90         1.0MM                            MURATA                           GNM214B11C104MA01B               100NF    
CP42     Bottom                            173.256    -71.739 90         1.0MM                            MURATA                           GNM214B11C104MA01B               100NF    
CP43     Bottom                            181.256    -80.139 180        1.0MM                            MURATA                           GNM214B11C104MA01B               100NF    
CP44     Bottom                            181.256    -83.039 180        1.0MM                            MURATA                           GNM214B11C104MA01B               100NF    
CP45     Bottom                            181.256    -85.439 180        1.0MM                            MURATA                           GNM214B11C104MA01B               100NF    
CP46     Bottom                            165.956    -71.739 90         1.0MM                            MURATA                           GNM214B11C104MA01B               100NF    
CP47     Bottom                            181.256    -87.839 180        1.0MM                            MURATA                           GNM214B11C104MA01B               100NF    
CP48     Bottom                            181.256    -90.339 180        1.0MM                            MURATA                           GNM214B11C104MA01B               100NF    
CP49     Bottom                            165.656    -98.139 270        1.0MM                            MURATA                           GNM214B11C104MA01B               100NF    
CP50     Bottom                            168.756    -98.139 270        1.0MM                            MURATA                           GNM214B11C104MA01B               100NF    
CP51     Bottom                            171.856    -98.139 270        1.0MM                            MURATA                           GNM214B11C104MA01B               100NF    
CP52     Bottom                            162.956    -98.239 270        1.0MM                            MURATA                           GNM214B11C104MA01B               100NF    
CR1      Top                               218.222   -200.339 270        1.2MM                            OSRAM                            Q62702P5179                      GRN      
CR2      Top                               220.296   -200.339 270        1.2MM                            OSRAM                            Q62702P5179                      GRN      
CR3      Top                               216.161   -200.339 270        1.2MM                            OSRAM                            Q62702P5179                      GRN      
CR4      Top                               214.160   -200.339 270        1.2MM                            OSRAM                            Q62702P5179                      GRN      
CR5      Top                               212.156   -200.339 270        1.2MM                            OSRAM                            Q62702P5178                      RED      
CR6      Top                               210.156   -200.339 270        1.2MM                            OSRAM                            Q62702P5178                      RED      
CR7      Top                                83.074    -16.106 90         1.2MM                            OSRAM                            Q62702P5179                      GRN      
CR8      Top                                85.360    -16.106 90         1.2MM                            OSRAM                            Q62702P5179                      GRN      
CR9      Top                                87.646    -16.106 90         1.2MM                            OSRAM                            Q62702P5179                      GRN      
CR10     Top                                89.932    -16.106 90         1.2MM                            OSRAM                            Q62702P5179                      GRN      
D1       Top                               228.430   -191.809 180        1.15MM                           VISHAY                           BAV70-V                          BAV70    
D2       Top                               123.854    -15.022 270        1.2MM                            AGILENT TECHNOLOGIES             HSMS-C150                        OPTICAL  
D3       Top                               126.645    -15.022 270        1.2MM                            AGILENT TECHNOLOGIES             HSMS-C150                        OPTICAL  
D4       Top                               129.181    -15.022 270        1.2MM                            AGILENT TECHNOLOGIES             HSMS-C150                        OPTICAL  
D5       Top                               131.716    -15.022 270        1.1MM                            AGILENT TECHNOLOGIES             HSMS-C150                        OPTICAL  
D6       Top                               191.118    -31.788 0          1.1MM                            AGILENT TECHNOLOGIES             HSMS-C150                        DUPLEX L 
D7       Top                               191.118    -28.575 0          1.2MM                            AGILENT TECHNOLOGIES             HSMS-C150                        L10 LED  
D8       Top                               191.118    -25.692 0          1.2MM                            AGILENT TECHNOLOGIES             HSMS-C150                        L100 LED 
D9       Top                               227.779   -215.741 0          1.1MM                            NXP                              PRTR5V0U2AX                      NONE     
D10      Top                                17.500    -80.000 0          1.1MM                            ON SEMI                          BZX84C3V3LT1                     3V3      
D11      Top                                29.500    -80.000 0          1.1MM                            ON SEMI                          BZX84C3V3LT1                     3V3      
D12      Top                                41.500    -80.000 0          1.1MM                            ON SEMI                          BZX84C3V3LT1                     3V3      
FB1      Bottom                            103.956    -95.139 270        0.95MM                           TDK                              MPZ1608S221A                     220@100M 
FB3      Bottom                            107.156   -102.739 180        0.95MM                           TDK                              MPZ1608S221A                     220@100M 
FB4      Bottom                            105.556    -95.039 270        0.95MM                           TDK                              MPZ1608S221A                     220@100M 
FB5      Bottom                            107.856    -95.039 90         0.95MM                           TDK                              MPZ1608S221A                     220@100M 
FB8      Bottom                            108.456    -88.039 90         0.95MM                           TDK                              MPZ1608S221A                     220@100M 
FB9      Bottom                            106.856    -88.039 270        0.95MM                           TDK                              MPZ1608S221A                     220@100M 
FB10     Bottom                            110.056    -88.039 270        0.95MM                           TDK                              MPZ1608S221A                     220@100M 
FB11     Bottom                            111.656    -88.039 270        0.95MM                           TDK                              MPZ1608S221A                     220@100M 
FB14     Bottom                            118.056    -88.039 90         0.95MM                           TDK                              MPZ1608S221A                     220@100M 
FB15     Bottom                            113.256    -88.039 270        0.95MM                           TDK                              MPZ1608S221A                     220@100M 
FB16     Bottom                            116.456    -88.039 270        0.95MM                           TDK                              MPZ1608S221A                     220@100M 
FB17     Bottom                            114.856    -88.039 270        0.95MM                           TDK                              MPZ1608S221A                     220@100M 
FB19     Bottom                            119.656    -88.039 90         0.95MM                           TDK                              MPZ1608S221A                     220@100M 
FB22     Bottom                            122.856    -88.039 270        0.95MM                           TDK                              MPZ1608S221A                     220@100M 
FB23     Bottom                            126.056    -88.039 270        0.95MM                           TDK                              MPZ1608S221A                     220@100M 
FB24     Bottom                            121.256    -88.039 270        0.95MM                           TDK                              MPZ1608S221A                     220@100M 
FB25     Bottom                            124.456    -88.039 90         0.95MM                           TDK                              MPZ1608S221A                     220@100M 
FB26     Top                                81.456    -82.739 0          0.95MM                           TDK                              MPZ1608S221A                     220@100M 
FB27     Top                                73.756   -119.739 90         0.95MM                           TDK                              MPZ1608S221A                     220@100M 
FB28     Bottom                            130.856    -88.039 270        0.95MM                           TDK                              MPZ1608S221A                     220@100M 
FB30     Bottom                            129.256    -88.039 270        0.95MM                           TDK                              MPZ1608S221A                     220@100M 
FB31     Bottom                            132.456    -88.039 270        0.95MM                           TDK                              MPZ1608S221A                     220@100M 
FB32     Bottom                            127.656    -88.039 90         0.95MM                           TDK                              MPZ1608S221A                     220@100M 
FB35     Bottom                            134.056    -88.039 90         0.95MM                           TDK                              MPZ1608S221A                     220@100M 
FB36     Bottom                            135.656    -88.039 270        0.95MM                           TDK                              MPZ1608S221A                     220@100M 
FB37     Bottom                            138.856    -88.039 270        0.95MM                           TDK                              MPZ1608S221A                     220@100M 
FB38     Bottom                            137.256    -88.039 270        0.95MM                           TDK                              MPZ1608S221A                     220@100M 
FB41     Bottom                            142.056    -88.039 90         0.95MM                           TDK                              MPZ1608S221A                     220@100M 
FB42     Bottom                            143.656    -88.039 270        0.95MM                           TDK                              MPZ1608S221A                     220@100M 
FB43     Bottom                            145.256    -88.039 270        0.95MM                           TDK                              MPZ1608S221A                     220@100M 
FB44     Bottom                            140.456    -88.039 270        0.95MM                           TDK                              MPZ1608S221A                     220@100M 
FB46     Bottom                            147.956    -96.339 180        0.95MM                           TDK                              MPZ1608S221A                     220@100M 
FB49     Bottom                            147.956    -99.539 0          0.95MM                           TDK                              MPZ1608S221A                     220@100M 
FB50     Bottom                            147.956   -101.139 0          0.95MM                           TDK                              MPZ1608S221A                     220@100M 
FB51     Bottom                            147.956    -97.939 0          0.95MM                           TDK                              MPZ1608S221A                     220@100M 
FB52     Top                                81.356    -69.139 0          0.95MM                           TDK                              MPZ1608S221A                     220@100M 
FU1      Top                               286.456     -4.239 0          0.00000mm                                                         N/A                                       
FU2      Top                               286.456   -231.239 0          0.00000mm                                                         N/A                                       
FU3      Top                               -13.544    -24.239 0          0.00000mm                                                         N/A                                       
FU4      Bottom                            275.000      5.000 0          0.00000mm                                                         N/A                                       
FU5      Bottom                            -10.000   -230.000 0          0.00000mm                                                         N/A                                       
FU6      Bottom                            275.000   -230.000 0          0.00000mm                                                         N/A                                       
FU7      Top                               291.465      6.985 0          0.00000mm                                                         N/A                                       
FU8      Top                               -19.685      6.985 0          0.00000mm                                                         N/A                                       
FU9      Top                               -19.685   -230.505 0          0.00000mm                                                         N/A                                       
FU10     Bottom                            -19.685      6.985 0          0.00000mm                                                         N/A                                       
FU11     Bottom                            -19.685   -230.505 0          0.00000mm                                                         N/A                                       
FU12     Bottom                            291.465      6.985 0          0.00000mm                                                         N/A                                       
H1       Top                                 0.000      0.000 0          0.00000mm                        NA                               N/A                                       
H2       Top                               124.460      0.000 0          0.00000mm                        NA                               N/A                                       
H3       Top                                 0.000   -154.940 0          0.00000mm                        NA                               N/A                                       
H4       Top                               281.940   -154.940 359        0.00000mm                        NA                               N/A                                       
H5       Top                               124.460   -227.330 0          0.00000mm                        NA                               N/A                                       
H6       Top                               281.940   -227.330 0          0.00000mm                        NA                               N/A                                       
H7       Top                                 0.000   -227.330 0          0.00000mm                        NA                               N/A                                       
H8       Top                               124.460   -154.940 0          0.00000mm                        NA                               N/A                                       
H9       Top                               281.940    -22.860 0          0.00000mm                        NA                               N/A                                       
H10      Top                               151.356   -119.599 0          0.00000mm                                                         N/A                                       
H11      Top                               100.556    -99.799 0          0.00000mm                                                         N/A                                       
J1       Top                               215.456    -82.739 270        6.14MM                           TYCO ELECTRONICS                 5767054-1                        .25IN F  
J2       Top                                60.300     -4.727 0          9.91MM                           3M                               N2520-6V0C-RB-WE                          
J3       Top                                50.500    -48.500 0          9.91MM                           3M                               N2520-6V0C-RB-WE                          
J7       Top                                -9.544      6.761 270        10.67MM                          MOLEX                            15-91-2140                                
J8       Top                               268.122    -72.644 270        14.88MM                          MOLEX                            879160001                                 
J9       Top                                24.232     -4.727 0          9.91MM                           3M                               N2520-6V0C-RB-WE                          
J10      Top                                54.077    -26.606 0          9.86MM                           AMPHENOL                         132136                           SMA      
J11      Top                                54.001    -15.843 0          9.86MM                           AMPHENOL                         132136                           SMA      
J12      Top                               220.514   -225.597 0          9.86MM                           AMPHENOL                         132136                           SMA      
J13      Top                               232.452   -225.597 0          9.86MM                           AMPHENOL                         132136                           SMA      
J14      Top                               283.690    -17.180 270        3.66MM                           SAMTEC                           HLE-105-02-G-DV                           
J15      Top                                47.727   -195.540 90         14.88MM                          MOLEX                            879160001                                 
J17      Top                               257.265   -207.388 0          3.2MM                            PROCONN                          SDSR13-A0-0005                            
J18      Top                               280.590    -64.380 270        12.8MM                           MOLEX                            44206-0007                                
J19      Top                                10.000    -78.776 270        11MM                             MOLEX                            47053-1000                                
J20      Top                                22.000    -78.776 270        11MM                             MOLEX                            47053-1000                                
J21      Top                                34.000    -78.776 270        11MM                             MOLEX                            47053-1000                                
J24      Top                               203.456    -45.000 270        6.4MM                            MOLEX                            87832-1420                                
J25      Top                               215.095      2.660 180        1.0MM                            HALO                             HFJ11-1G02E-L12                           
J26      Top                                 6.788      3.752 0          9.91MM                           3M                               2510-6002UB                               
J27      Top                                -9.544    -55.739 270        9.91MM                           3M                               2510-6002UB                               
J28      Top                               239.690     13.960 270        13.5MM                           LANTRONIX                        XP1001001-03R                             
J31      Top                                -9.544    -27.239 270        10.67MM                          MOLEX                            15-91-2200                                
J32      Top                               283.990    -31.180 180        10.8MM                           3M                               8510-4500PL                               
J41      Top                                -9.544    -14.239 270        10.67MM                          MOLEX                            15-91-2080                                
JP6      Top                                72.956    -86.739 270        0.00000mm                        N/A                              JP2                              NO POP   
JP9      Top                                72.956    -72.739 270        0.00000mm                        N/A                              JP2                              NO POP   
JP10     Top                               202.599    -31.000 0          0.4MM                            N/A                              JP3                              2-3      
JP11     Top                               202.599    -32.524 180        0.4MM                            N/A                              JP3                              2-3      
JP12     Top                               202.599    -18.300 0          0.4MM                            N/A                              JP3                              1-2      
JP13     Top                               202.599    -19.824 180        0.4MM                            N/A                              JP3                              1-2      
JP14     Top                               202.599    -21.602 0          0.4MM                            N/A                              JP3                              1-2      
JP15     Top                               202.599    -23.126 180        0.4MM                            N/A                              JP3                              1-2      
JP16     Top                               202.599    -24.904 0          0.4MM                            N/A                              JP3                              2-3      
JP17     Top                               202.599    -26.428 180        0.4MM                            N/A                              JP3                              2-3      
JP18     Top                               202.599    -29.502 180        0.4MM                            N/A                              JP3                              2-3      
JP19     Top                               202.599    -27.952 0          0.4MM                            N/A                              JP3                              2-3      
JP20     Top                               196.503    -34.302 0          0.4MM                            N/A                              JP3                              1-2      
JP21     Top                               196.503    -36.080 0          0.4MM                            N/A                              JP3                              1-2      
JP22     Top                               196.503    -37.858 0          0.4MM                            N/A                              JP3                              1-2      
JP23     Top                               196.503    -39.382 0          0.4MM                            N/A                              JP3                              1-2      
JP24     Top                               230.683    -30.642 180        0.00000mm                        N/A                              JP2                              NO POP   
JP25     Top                               234.332    -33.852 180        0.00000mm                        N/A                              JP2                              NO POP   
JP26     Top                                31.956    -32.739 90         0.4MM                            N/A                              JP3                              2-3      
JP27     Top                                38.456    -63.239 180        0.4MM                            N/A                              JP3                              2-3      
JP28     Top                               -14.340    -69.788 90         0.4MM                            N/A                              JP3                              2-3      
L1       Top                               245.456   -100.739 180        1.0MM                            MURATA                           BLM21B601SPT                     600OHM 2 
L2       Top                               204.956   -134.739 270        1.0MM                            MURATA                           BLM21B601SPT                     600OHM 2 
L3       Top                               201.956   -134.739 270        1.0MM                            MURATA                           BLM21B601SPT                     600OHM 2 
L4       Top                               245.456    -96.739 0          1.0MM                            MURATA                           BLM21B601SPT                     600OHM 2 
L5       Top                                36.956   -227.739 180        1.12MM                           MURATA                           BLM31PG121SN1B                   BLM31PG1 
L6       Top                                36.956   -230.739 180        1.12MM                           MURATA                           BLM31PG121SN1B                   BLM31PG1 
L7       Top                                11.862   -187.429 180        1.12MM                           MURATA                           BLM31PG121SN1B                   BLM31PG1 
L8       Top                               225.556   -134.539 270        0.95MM                           MURATA                           BLM18PG181SN1X                   180OHM 1 
L9       Top                               223.156   -134.539 270        0.95MM                           MURATA                           BLM18PG181SN1X                   180OHM 1 
L10      Top                               220.556   -134.539 270        0.95MM                           MURATA                           BLM18PG181SN1X                   180OHM 1 
L11      Top                               218.156   -134.539 270        0.95MM                           MURATA                           BLM18PG181SN1X                   180OHM 1 
L12      Top                               245.456    -85.239 90         0.95MM                           MURATA                           BLM18PG181SN1X                   180OHM 1 
L13      Top                               215.756   -134.539 270        0.95MM                           MURATA                           BLM18PG181SN1X                   180OHM 1 
L14      Top                                 5.706   -141.812 180        1.12MM                           MURATA                           BLM31PG121SN1B                   BLM31PG1 
L15      Top                                -4.216   -187.480 180        1.12MM                           MURATA                           BLM31PG121SN1B                   BLM31PG1 
L16      Top                                36.956   -224.739 180        1.12MM                           MURATA                           BLM31PG121SN1B                   BLM31PG1 
L17      Top                               242.320   -132.610 0          0.95MM                           MURATA                           BLM18PG181SN1X                   180OHM 1 
LOGO1    Top                                60.456   -206.439 0          0.00000mm                                                         N/A                                       
LOGO2    Top                                60.156   -189.239 0          0.00000mm                                                         N/A                                       
LOGO3    Top                                59.854   -175.650 0          0.00000mm                                                         N/A                                       
LOGO4    Top                               133.814   -174.758 0          0.00000mm                                                         N/A                                       
P1       Top                               202.226    -81.509 270        8.38MM                           SAMTEC                           TSM-108-01-TM-DV-P               .1IN M S 
P2       Top                               285.190      0.620 0          0.31750mm                        NORCOMP                          182-009-112-171                  9P DSUB  
P3       Top                               136.754      2.134 180        37.9MM                           FUJITSU                          FCN-268F036-G/3DB                         
P4       Top                               264.156    -30.239 90         8.38MM                           SAMTEC                           TSM-105-01-TM-SV                 0.1IN M  
P5       Top                               143.891   -230.581 0          9.5MM                            TYCO ELECTRONICS                 6367550-5                        ZDOK40   
P6       Top                               231.318      6.910 180        14.45MM                          MOLEX                            89485-8001                       NONE     
P7       Top                                54.356   -230.581 0          9.5MM                            TYCO ELECTRONICS                 6367550-5                        ZDOK40   
P8       Top                               195.456    -47.239 0          8.38MM                           SAMTEC                           TSM-108-01-TM-DV-P               .1IN M S 
P9       Top                               126.873   -199.568 0          3.05MM                           SAMTEC                           QSH-040-01-L-D-DP-A-K                     
P11      Top                                64.516    -29.868 180        8.38MM                           SAMTEC                           TSM-105-01-TM-SV                 0.1IN M  
PTC1     Top                               227.200     -5.400 90         0.75MM                           LITTELFUSE                       1206L050                         500MA    
PTC2     Bottom                             15.367    -76.200 0                                           BOURNS                           MF-NSMF050-2                     500MA/13 
PTC3     Bottom                             27.051    -76.200 0                                           BOURNS                           MF-NSMF050-2                     500MA/13 
PTC4     Bottom                             39.116    -76.835 0                                           BOURNS                           MF-NSMF050-2                     500MA/13 
PTC5     Top                               254.889    -31.496 0                                           BOURNS                           MF-NSMF050-2                     500MA/13 
PTC6     Top                                65.659    -37.846 90                                          BOURNS                           MF-NSMF050-2                     500MA/13 
PTC7     Bottom                            203.581    -42.799 180                                         BOURNS                           MF-NSMF050-2                     500MA/13 
PTC8     Bottom                            269.875      6.096 90                                          BOURNS                           MF-NSMF050-2                     500MA/13 
PTC9     Bottom                            286.385    -11.049 270                                         BOURNS                           MF-NSMF050-2                     500MA/13 
Q4       Top                                14.504   -199.164 90         1.11MM                           FAIRCHILD SEMICONDUCTOR          BSS138                           BSS138   
Q5       Top                                14.504   -191.036 90         1.11MM                           FAIRCHILD SEMICONDUCTOR          BSS138                           BSS138   
Q6       Top                               -13.944   -110.772 270        1.11MM                           FAIRCHILD SEMICONDUCTOR          BSS138                           BSS138   
Q7       Top                                14.504   -195.100 90         1.11MM                           FAIRCHILD SEMICONDUCTOR          BSS138                           BSS138   
Q8       Top                               276.790   -211.880 0          1.11MM                           FAIRCHILD SEMICONDUCTOR          BSS138                           BSS138   
Q9       Top                               277.190   -216.680 0          1.11MM                           FAIRCHILD SEMICONDUCTOR          NDS331N                          NDS331N  
Q10      Top                               278.890   -196.180 0          1.11MM                           FAIRCHILD SEMICONDUCTOR          NDS331N                          NDS331N  
Q11      Top                                -1.684    -73.180 0          2.4MM                            FAIRCHILD                        FJD3076TM                                 
Q12      Top                               284.690   -141.980 270        1.75MM                           FAIRCHILD                        FDS6675BZ                                 
Q13      Top                               284.890   -118.080 270        1.75MM                           FAIRCHILD                        FDS6675BZ                                 
Q14      Top                                25.840   -187.322 90         1.75MM                           FAIRCHILD                        FDS6675BZ                                 
R1       Top                                63.577    -16.970 180        0.4MM                            ROYAL OHM                        0402WGF0103T1E                   10K      
R2       Top                                27.255    -17.097 0          0.4MM                            ROYAL OHM                        0402WGF0103T1E                   10K      
R3       Top                               218.756    -85.139 0          0.4MM                            ROYAL OHM                        0402WGF0102T1E                   1K       
R4       Top                               191.456   -120.239 180        0.4MM                            ROYAL OHM                        0402WG00T1E                      0R       
R5       Top                               181.956   -102.739 270        0.4MM                            ROYAL OHM                        0402WGF0332T1E                   3K3      
R6       Top                               279.956   -106.239 180        0.4MM                            ROYAL OHM                        0402WGJ0120T1E                   120R     
R7       Top                                27.229    -19.764 180        0.4MM                            ROYAL OHM                        0402WGF0103T1E                   10K      
R8       Top                                37.262    -19.738 180        0.4MM                            ROYAL OHM                        0402WGF0103T1E                   10K      
R9       Top                                82.612    -22.025 180        0.4MM                            ROYAL OHM                        0402WGF0103T1E                   10K      
R10      Top                               127.856   -147.339 270        0.4MM                            ROYAL OHM                        0402WGF0220T1E                   22R      
R11      Top                               165.356   -150.439 270        0.4MM                            ROYAL OHM                        0402WGF0220T1E                   22R      
R12      Top                               163.956   -150.439 270        0.4MM                            ROYAL OHM                        0402WGF0220T1E                   22R      
R13      Top                               129.956   -147.239 270        0.4MM                            ROYAL OHM                        0402WGF0220T1E                   22R      
R14      Top                                20.611   -204.853 180        0.4MM                            ROYAL OHM                        0402WGF0220T1E                   22R      
R15      Top                                20.573   -207.164 180        0.4MM                            ROYAL OHM                        0402WGF0220T1E                   22R      
R16      Top                                19.000   -155.039 0          0.4MM                            ROYAL OHM                        0402WGF0220T1E                   22R      
R17      Top                                13.000   -160.639 180        0.4MM                            ROYAL OHM                        0402WGF0220T1E                   22R      
R18      Top                                 6.756   -103.139 90         0.4MM                            ROYAL OHM                        0402WGF0220T1E                   22R      
R19      Top                                 2.290   -100.280 90         0.4MM                            ROYAL OHM                        0402WGF0220T1E                   22R      
R20      Top                               -15.096   -165.101 0          0.4MM                            ROYAL OHM                        0402WGF0220T1E                   22R      
R21      Top                                -5.800   -158.300 0          0.4MM                            ROYAL OHM                        0402WGF0220T1E                   22R      
R22      Top                               155.956   -103.239 0          0.4MM                            ROYAL OHM                        0402WGF499JT1E                   49.9R    
R23      Top                               214.056    -85.239 180        0.4MM                            ROYAL OHM                        0402WGF0332T1E                   3K3      
R24      Top                               191.456   -118.239 0          0.4MM                            ROYAL OHM                        0402WGF0102T1E                   1K       
R25      Top                               191.456   -105.739 180        0.4MM                            ROYAL OHM                        0402WGF0102T1E                   1K       
R26      Bottom                            198.501    -72.263 180        0.4MM                            ROYAL OHM                        4D02WGJ0330T                     33       
R27      Bottom                            206.036    -66.339 180        0.4MM                            ROYAL OHM                        0402WGF0332T1E                   3K3      
R28      Top                               225.890   -197.651 180        0.4MM                            ROYAL OHM                        0402WGF0332T1E                   3K3      
R29      Top                               193.256   -102.839 270        0.4MM                            ROYAL OHM                        0402WGF0332T1E                   3K3      
R30      Top                               227.456   -160.139 270        0.4MM                            ROYAL OHM                        0402WGF0332T1E                   3K3      
R31      Top                               197.556    -84.339 270        0.4MM                            ROYAL OHM                        0402WGF0332T1E                   3K3      
R32      Top                               187.600    -83.300 270        0.4MM                            ROYAL OHM                        0402WGF0332T1E                   3K3      
R33      Top                               189.156    -93.539 270        0.4MM                            ROYAL OHM                        0402WGF0332T1E                   3K3      
R34      Top                               237.290   -168.480 180        0.4MM                            ROYAL OHM                        0402WGF0332T1E                   3K3      
R35      Top                               186.000    -83.200 270        0.4MM                            ROYAL OHM                        0402WGF0332T1E                   3K3      
R36      Top                               210.354    -69.641 90         0.4MM                            ROYAL OHM                        0402WGF0103T1E                   10K      
R37      Bottom                            206.036    -76.499 180        0.4MM                            ROYAL OHM                        0402WGF0103T1E                   10K      
R38      Top                               208.356    -73.139 90         0.4MM                            ROYAL OHM                        0402WGF0103T1E                   10K      
R39      Top                               208.356    -69.639 270        0.4MM                            ROYAL OHM                        0402WGF0103T1E                   10K      
R40      Top                               155.956   -101.239 0          0.4MM                            ROYAL OHM                        0402WGF499JT1E                   49.9R    
R41      Top                               225.890   -199.175 0          0.4MM                            ROYAL OHM                        0402WGF0153T1E                   15K      
